REF;NAME;PVP03;PVP04;PVP02
80483;BALON SOFTEE VINTAGE POWER;15;16.5;18
0000108;BALÓN FÚTBOL 11 SOFTEE MICROCELULAR;3.95;4.35;4.74
0000148;BALÓN FÚTBOL 11 SOFTEE 'VINTAGE';15;16.5;18
0000505;BALÓN FÚTBOL 11 GALAXY R11;6.95;7.65;8.34
0000506;BALÓN FÚTBOL 7 GALAXY R7;6.95;7.65;8.34
0000507;BALÓN FÚTBOL SALA GALAXY SALA;7.7;8.47;9.24
0000531;BALÓN FÚTBOL MULTIDEPORTE SOFTEE 'MINI 26';3.95;4.35;4.74
0001701;BALÓN VOLEIBOL SOFTEE INNOVATE;9.95;10.95;11.94
0001702;BALÓN VOLEIBOL SOFTEE CONTROL DREAMS;10.95;12.05;13.14
0001703;BALÓN VOLEIBOL SOFTEE CONTROL;10.95;12.05;13.14
0001704;BALÓN VOLEIBOL SOFTEE KING;7.95;8.75;9.54
0001705;BALÓN VOLEIBOL SOFTEE ESTRELLA;6.5;7.15;7.8
0001721;BALÓN VOLEIBOL SOFTEE 'SILVI';3.95;4.35;4.74
0001734;BALÓN VOLEY SOFTEE SOFT NARANJA;5.95;6.55;7.14
0001738;BALÓN VOLEIBOL SOFTEE ORIX 5;5.95;6.55;7.14
0001739;BALÓN VOLEIBOL SOFTEE SOFTBALL VOLEIBOL 2.0 AZUL/BLANCO;5.75;6.33;6.9
0001740;BALÓN VOLEIBOL SOFTEE SOFTBALL VOLEIBOL 3.0 AMARILLO/VERDE;5.75;6.33;6.9
0001744;BALÓN VOLEY SOFTEE LIMITED;5.95;6.55;7.14
0001745;BALÓN VOLEIBOL SOFTEE REVOLUTION AZUL;5.65;6.22;6.78
0001746;BALÓN VOLEIBOL SOFTEE REVOLUTION ROJO;5.65;6.22;6.78
0003002;BALÓN RUGBY SOFTEE 'DERBY';5.99;6.59;7.19
0003003;BALÓN RUGBY SOFTEE GLOBAL;5.45;6;6.54
0003004;BALÓN RUGBY ROX PROTEX;7.65;8.42;9.18
0003006;BALÓN RUGBY SOFTEE SENSI;6.28;6.91;7.54
0003100;BALÓN WATERPOLO SOFTEE;3.99;4.39;4.79
0003101;BALÓN WATERPOLO SOFTEE AQUA;9.95;10.95;11.94
0003150;PELOTA CAUCHO SOFTEE PARA BRILÉ COLOR ROJO;2.99;3.29;3.59
0003601;PELOTA GIGANTE DE TENIS/PÁDEL SOFTEE;3.55;3.55;3.55
0003604;HINCHADOR PELOTA GIGANTE;1.2;1.32;1.44
0003605;TAPON PELOTAS GIGANTES;0.07;0.08;0.08
0003606;EXTRACTOR TAPON PELOTAS GIGANTES;0.95;1.05;1.14
0003650;PELOTA CILINDRO CACAHUETE;9.9;10.89;11.88
0003664;PELOTA CANGURO 45 CM COLOR ROJO;2.55;2.81;3.06
0004002;SILBATO METÁLICO;0.55;0.61;0.66
0004004;PRESURIZADOR DE PELOTAS DE ALTA PRESIÓN BALL RESCUER;15;15;15
0004005;PRESURIZADOR DE PELOTAS DE ALTA PRESIÓN BALL RESCUER PREMIUM PLUS;21;21;21
0004006;TANQUE PRESURIZADOR DE ALTA PRESIÓN BALL RESCUER T-200;599;599;599
0004007;TANQUE PRESURIZADOR DE ALTA PRESIÓN BALL RESCUER T-400;799;799;799
0004008;JUNTA DE ESTANQUEIDAD PRE LUBRICADAPARA PRESURIZADORES BALL RESCUER;4;4;4
0004010;CORREA PARA SILBATO ESPIRAL;0.45;0.5;0.54
0004012;CORREA PARA SILBATO 25 CM ;0.17;0.19;0.2
0004013;SET ARBITRO SENCILLO;1.6;1.76;1.92
0004014;CORREA PARA SILBATO 50 CM (SURTIDO DE COLORES);0.25;0.28;0.3
0004015;SET TARJETA ÁRBITRO COLOR ROJA /AMARILLA;0.59;0.65;0.71
0004016;SET TARJETAS VOLEIBOL PVC SOFTEE;0.75;0.83;0.9
0004017;TARJETERO ÁRBITRO BASIC;1.4;1.54;1.68
0004020;TARJETERO DELUXE;11.3;12.43;13.56
0004028;SET MULTIDEPORTE PARA ENTRENADOR/ARBITRO;11.9;13.09;14.28
0004029;SILBATO METÁLICO CILINDRO;1.55;1.71;1.86
0004072;SILBATO METALICO CILINDRO 2.0;1.3;1.43;1.56
0004073;MARCADOR DE MESA DELUXE;12.25;13.48;14.7
0004074;MARCADOR CAMBIOS CHACOTES;29.5;32.45;35.4
0004075;MARCADOR CAMBIOS CHACOTES MEDIO;18.5;20.35;22.2
0004076;KIT ENTRENADOR SOFTEE COACH;49.9;54.89;59.88
0004077;SILBATO SOFTEE FREQUENCY;7.95;8.75;9.54
0004078;TRIPODE ENTRENADOR CON SOPORTE PARA CARPETA SOFTEE;0.89;0.98;1.07
0004082;BOMBA DE PIE ACUMULADOR Y MANÓMETRO;5.5;6.05;6.6
0004084;BOMBA DE PIE ACUMULADOR NEW;4.6;5.06;5.52
0004086;BOMBA DE HINCHADO DOBLE ACCIÓN;2.6;2.86;3.12
0004092;AGUJA HINCHADO ANCHA;0.16;0.18;0.19
0004093;AGUJA HINCHADO ESTRECHA PVC;0.16;0.18;0.19
0004094;SET 3 AGUJAS HINCHADO ESTRECHAS ANTI-RETORNO SOFTEE;0.69;0.76;0.83
0004096;MEDIDOR PRESIÓN-BOLÍGRAFO;1.69;1.86;2.03
0004097;MEDIDOR PRESIÓN-PROFESIONAL;3.95;4.35;4.74
0004102;BOMBÍN MANUAL DELUXE;0.99;1.09;1.19
0004106;COMPRESOR ELÉCTRICO BASIC;46.95;51.65;56.34
0004113;COMPRESOR ELÉCTRICO TORNADO;39;42.9;46.8
0004116;COMPRESOR ELÉCTRICO RAIDER;59;64.9;70.8
0004117;RED PORTA 20 BALONES;1.89;2.08;2.27
0004118;RED PORTA 8 BALONES;0.85;0.94;1.02
0004119;RED PORTA 20 BALONES DELUXE;2.89;3.18;3.47
0004120;BOLSA JUMBO CAPACIDAD 30 BALONES;4.32;4.75;5.18
0004133;CARRO PORTABALONES METÁLICO NEW 30/35 BALONES;152;152;174.8
0004137;SOPORTE PELOTAS GIGANTES -PARED-;45.9;50.49;55.08
0004139;SOPORTE PELOTAS GIGANTES -PIE-;109;119.9;130.8
0004143;CARRO PORTABALONES ACERO PLEGABLE CON RUEDAS Y TAPA;99.9;109.89;119.88
0004144;CARRO PORTABALONES ALUMINIO DELUXE;52.27;52.27;60.11
0004145;CARRO PORTABALONES DE ALUMINIO;49.95;54.95;59.94
0004148;CESTA PORTABALONES;34.95;38.45;41.94
0004149;CARRO MULTIUSOS;29.95;32.95;35.94
0004504;CINTA DE SUJECIÓN RÓTULA;1.7;1.87;2.04
0004505;CINTA DE SUJECIÓN CODO;1.5;1.65;1.8
0004549;FAJA LUMBAR NEOPRENO SIN PROTECCIONES SOFTEE;2.99;3.29;3.59
0004552;MUÑEQUERA NEOPRENO SOFTEE;1.24;1.36;1.49
